name,barrio,descripcion,precio,codigo,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,opt9,opt10
Apartamento en venta,Santa Bárbara - Bogotá,"Brok3rs Inmobiliaria, www.casabrokers.co ofrece en venta apartamento con una excelente ubicación. Al ingresar, encontramos un pequeño hall, en un espacio bastante amplio se encuentran la sala doble con chimenea y balcón, comedor, espacios muy iluminados, baño social, cocina integral, zona de lavandería y cuarto y baño de servicio. Continuamos hacia la zona privada, encontramos un pasillo en donde está al fondo un estudio con balcón, dos habitaciones que comparten un baño y la habitación principal con un gran Vestier y un baño. Dos 2 parqueaderos independientes y deposito. Excelente seguridad . Barrio residencial, caminado a pasos de la 109 donde encontramos restaurantes y comercio una cuadra, entre otros. ( LDLV) .",$ 985.000.000,Código Fincaraíz: 6159698,{'Habitaciones': '3'},{'Baños': '3'},{'Habitaciones': '3'},{'Habitaciones': '3'},{'Área construída': '167 m²'},{'Área privada': '167 m²'},{'Estrato': '6'},{'Antigüedad': '9 a 15 años'},{'Piso N°': '4'},{'Administración': '$\xa01.075.000 COP'}
Apartamento en venta,Nicolás de Federman - Bogotá,EXCELENTE DISTRIBUCION VENDO O PERMUTO POR MOTIVO DE VIAJE ;),$ 599.000.000,Código Fincaraíz: 6570167,{'Habitaciones': '3'},{'Baños': '2'},{'Habitaciones': '3'},{'Habitaciones': '3'},{'Área construída': '82 m²'},{'Área privada': '82 m²'},{'Estrato': '4'},{'Estado': 'Excelente'},{'Antigüedad': '1 a 8 años'},{'Piso N°': '4'}
Apartamento en venta,Chicó - Bogotá,"Apartamento remodelado moderno con mucho carácter de 138 mts2 en piso 1 interior con terraza techada cuyo techo es movible, esto lo hace muy iluminado. Cuenta con 2 habitaciones y estudio abierto. Cocina abierta y zona de lavandería con ventilación natural. Amplia zona social. 2 parqueaderos independientes. Tiendas y transporte público cercano. Con posibilidad de construir una terraza de 7 mts2 que saldría de la segunda habitación con una inversión de 3 millones..",$ 720.000.000,Código Fincaraíz: 6295801,{'Habitaciones': '2'},{'Baños': '3'},{'Habitaciones': '2'},{'Habitaciones': '2'},{'Área construída': '138 m²'},{'Área privada': '0 m²'},{'Estrato': '6'},{'Estado': 'Excelente'},{'Antigüedad': 'más de 30 años'},{'Piso N°': '1'}
Apartamento en venta,La Calleja - Bogotá,"Se vende excelente apartamento en La Calleja Alta, en el conjunto residencial Retiro de Santa Mónica, con vista a los campos de golf del Country Club y a los cerros. Piso 12 exterior. El apartamento tiene 3 habitaciones, la principal con baño privado, otro baño para las otras dos habitaciones y baño social. cocina super amplia con comedor auxiliar, zona de lavandería independiente, cuarto y baño de servicio y dos parqueaderos. El conjunto tiene gimnasio, salón comunal, salón de juego para niños. Además esta rodeado de zonas verdes, tiene un parque con 4 canchas de tenis, cancha de usos múltiples y cancha de futbol pequeña. .",$ 850.000.000,Código Fincaraíz: 6621376,{'Habitaciones': '3'},{'Baños': '3'},{'Habitaciones': '3'},{'Habitaciones': '3'},{'Área construída': '148 m²'},{'Área privada': '148 m²'},{'Estrato': '6'},{'Antigüedad': '16 a 30 años'},{'Piso N°': '12'},{'Administración': '$\xa0575.000 COP'}
Apartamento en venta,Chicó Reservado - Bogotá,"Apartamento duplex (Penthouse) en Chico Reservado, con área construida de 340 mts2 y área privada de 320 mts2, más terraza de 20 mts2. Amplio, moderno, acogedor, rodeado de naturaleza, magnífica vista panorámica a los cerros orientales y acabados de lujo. Tiene 4 habitaciones cada una con su baño privado, baño social, sala comedor, cocina cerrada, comedor auxiliar, chimenea, estudio, CBS, zona de lavandería independiente, 3 garajes y depósito. Parque infantil, sala de escoltas, salon y gym.",$ 2.600.000.000,Código Fincaraíz: 6276569,{'Habitaciones': '4'},{'Baños': '5'},{'Habitaciones': '4'},{'Habitaciones': '4'},{'Área construída': '360 m²'},{'Área privada': '320 m²'},{'Estrato': '6'},{'Estado': 'Excelente'},{'Antigüedad': '9 a 15 años'},{'Piso N°': '5'}
Apartamento en venta,Chicó - Bogotá,"Encuentra, Arrienda o Vende con nosotros. Siempre más opciones en www.homesnbricks.com Visitanos!! Ofrece Amplio apartamento en venta ubicado en el barrio Chicó. Este inmueble cuenta con sala y comedor independientes, cocina independiente, zona de lavandería, habitación de servicio convertida en estudio. Zona privada con family room, habitación principal con baño privado, Cuatro habitaciones y tres baños Completos . Incluye Dos parqueaderos y depósito. El edificio consta de ascensor y sistema de seguridad 24 hrs. .",$ 932.000.000,Código Fincaraíz: 3909374,{'Habitaciones': '4'},{'Baños': '4'},{'Habitaciones': '4'},{'Habitaciones': '4'},{'Área construída': '192 m²'},{'Área privada': '192 m²'},{'Estrato': '6'},{'Antigüedad': 'más de 30 años'},{'Piso N°': '5'},{'Administración': '$\xa01.123.000 COP'}
Apartamento en venta,Suba - Bogotá,"Apartamento con excelente ubicación cerca a centro comercial plaza imperial y supermercados zapatoca, trasnmilenio. Cuenta con una habitación con posibilidad de una segunda, luz natural y buenos acabados, el edificio tiene dos años de construcción, parqueadero a disponibilidad en el conjunto. Agende su cita¡¡, contáctenos para darle información adicional..",$ 165.000.000,Código Fincaraíz: 6240863,{'Habitaciones': '1'},{'Baños': '1'},{'Habitaciones': '1'},{'Habitaciones': '1'},{'Área construída': '40 m²'},{'Área privada': '40 m²'},{'Estrato': '3'},{'Estado': 'Bueno'},{'Antigüedad': '1 a 8 años'},{'Piso N°': '8'}
None,None,None,None,None,{'Descripción general': 'Código Fincaraíz: 6308562'},None,{'Descripción general': 'Código Fincaraíz: 6308562'},{'Descripción general': 'Código Fincaraíz: 6308562'},{'Área construída': '110 m²'},{'Área privada': '110 m²'},{'Estrato': '4'},{'Estado': 'Bueno'},{'Antigüedad': '16 a 30 años'},{'Piso N°': '5'}
Apartamento en venta,Sotileza - Bogotá,"Apartamento en Venta Sotileza acceso por la Avenida Boyaca y la calle 128, ubicado en los altos de Suba, con facilidad de acceso vehicular y peatonal. En Sotileza encontrarás este conjunto de apartamentos que tienen excelente ubicación, a solo 1 cuadra y media de la Av. Boyaca, a la entrada de Sotileza, cuenta con accesos viales por la Avenida Suba, calle 127 y Avenida Boyacá. Es una de las zonas con mayores índices de valorización en Bogotá, vive en uno de los sectores más exclusivos de Bogotá, rodeado de verde, paz, tranquilidad y sobre todo seguridad. Apartamento en Venta Calatrava 2 alcobas, apartamento Moderno ubicado en un noveno piso con vista hacia el norte, los cerros de Suba y el oriente de Bogotá. En conjunto moderno con completas zonas sociales, cuenta con salones sociales, cámaras de seguridad, portería 24 horas, rodeado de todo el verde que ofrece Sotileza gimnasio, parque infantil.",$ 398.000.000,Código Fincaraíz: 6120419,{'Habitaciones': '2'},{'Baños': '2'},{'Habitaciones': '2'},{'Habitaciones': '2'},{'Área construída': '67 m²'},{'Área privada': '62 m²'},{'Estrato': '6'},{'Estado': 'Bueno'},{'Antigüedad': '1 a 8 años'},{'Piso N°': '9'}
Apartamento en venta,Los Cedros - Bogotá,VENDO EXCELENTE APARTAMENTO 78 M2 MUY CLARO ZONA RESIDENCIAL EL CEDRO CERCANA A CLLE 147 MUY RECURSIVA QUINTO PISO CON ASCENSOR. VIGILANCIA 24 HRS.,$ 330.000.000,Código Fincaraíz: 6513903,{'Habitaciones': '2'},{'Baños': '3'},{'Habitaciones': '2'},{'Habitaciones': '2'},{'Área construída': '78 m²'},{'Área privada': '78 m²'},{'Estrato': '4'},{'Estado': 'Excelente'},{'Antigüedad': '16 a 30 años'},{'Piso N°': '5'}
